,totgen,coal,oil,biomass,IPP,alphacoal,alphaoil,alphabiomass,alphaIPP,,,,,,,,,,
146,2286.787237,518.0328095,341.1718085,-1.798135782,589.4389178,0.226533016,0.149192633,-0.000786315,0.257758531,,,,,,,,,,
147,2272.882475,520.4785854,333.5175805,-1.971320782,596.8955078,0.22899494,0.146737715,-0.000867322,0.26261609,,,,,,,,,,
148,2261.053528,525.524097,316.1262156,-2.009572782,588.9048378,0.232424439,0.139813681,-0.000888777,0.260455947,,,,,,,,,,
149,2243.576478,530.8349476,321.5978836,-1.529620782,594.7941278,0.236602118,0.143341619,-0.000681778,0.265109807,,,,,,,,,,
150,2210.650848,540.0893272,325.1501046,-0.652671782,592.5541178,0.244312361,0.147083428,-0.00029524,0.268045096,,,,,,,,,,
151,2194.497667,546.610393,323.4497606,-0.424358782,591.8873178,0.249082239,0.147391253,-0.000193374,0.269714262,,,,,,,,,,
152,2204.35916,551.1778937,323.1635866,-1.011341782,591.2844778,0.250039968,0.146602057,-0.000458792,0.268234183,,,,,,,,,,
153,2217.630398,556.6812248,322.8638786,-1.163675782,592.5972378,0.25102525,0.14558958,-0.000524738,0.267220921,,,,,,,,,,
154,2249.250965,573.7109517,322.7846216,-1.800461782,589.9063278,0.255067558,0.143507606,-0.000800472,0.2622679,,,,,,,,,,
155,2283.448647,591.0868091,324.0882116,-2.655959782,591.0744778,0.258857063,0.141929275,-0.001163135,0.258851662,,,,,,,,,,
156,2317.34443,625.0531939,322.0052546,-2.366218782,590.2704978,0.269728222,0.138954421,-0.001021091,0.2547185,,,,,,,,,,
157,2333.899587,639.9078998,322.1507586,-0.885334782,590.1461078,0.274179705,0.138031113,-0.000379337,0.252858397,,,,,,,,,,
158,2343.637014,649.431475,323.4467466,-0.910685782,588.3971178,0.277104121,0.138010598,-0.000388578,0.25106154,,,,,,,,,,
159,2372.143517,654.2386781,323.3230506,-1.016216782,592.3923878,0.275800631,0.136299953,-0.000428396,0.24972873,,,,,,,,,,
160,2392.529749,658.9550157,322.1889296,-0.698573782,591.8383278,0.275421869,0.134664545,-0.000291981,0.247369266,,,,,,,,,,
161,2408.868423,664.7277832,345.7748156,-0.905135782,592.2087878,0.275950225,0.143542425,-0.000375751,0.24584522,,,,,,,,,,
162,2409.155534,675.1135234,357.4289836,-0.841382782,595.1227878,0.280228285,0.148362768,-0.000349244,0.247025474,,,,,,,,,,
163,2400.16752,684.2492251,355.6455086,0.117772218,594.3936578,0.285083945,0.148175286,4.90683E-05,0.247646738,,,,,,,,,,
164,2382.650159,687.4588184,353.3364956,0.433990218,596.6851778,0.288526965,0.148295584,0.000182146,0.250429202,,,,,,,,,,
165,2363.612784,691.4333805,354.1175196,-0.517363782,596.0889678,0.292532425,0.149820445,-0.000218887,0.252194002,,,,,,,,,,
166,2341.125026,697.5993368,353.8764026,-0.897185782,596.2619178,0.297976114,0.151156559,-0.000383228,0.254690335,,,,,,,,,,
167,2357.258745,705.0939349,361.4195556,-0.625219782,597.3993978,0.299116054,0.15332197,-0.000265232,0.253429709,,,,,,,,,,
168,2352.449724,702.7419892,362.3798106,-0.374705782,597.9136478,0.29872774,0.154043594,-0.000159283,0.254166387,,,,,,,,,,
169,2435.947468,718.6288173,361.9241276,0.038568218,599.3116778,0.295009981,0.148576327,1.58329E-05,0.246028162,,,,,,,,,,
170,2483.272432,721.5039169,360.8416806,-0.137391782,597.2517678,0.290545615,0.145308938,-5.53269E-05,0.240509966,,,,,,,,,,
171,2628.094425,726.0423745,363.9841216,-0.980139782,598.7809278,0.276261906,0.138497353,-0.000372947,0.227838438,,,,,,,,,,
172,2788.568637,730.2111251,367.6222836,-0.804479782,597.6026178,0.26185876,0.131831894,-0.000288492,0.214304432,,,,,,,,,,
173,2854.841692,733.0943667,370.4930646,-0.732625782,602.2195578,0.256789849,0.129777096,-0.000256626,0.210946743,,,,,,,,,,
174,2855.14405,738.3389415,372.6683846,-0.775527782,603.0206378,0.258599541,0.130525248,-0.000271625,0.211204979,,,,,,,,,,
175,2812.066342,743.4274395,371.3509316,-0.684772782,602.1128778,0.264370519,0.132056249,-0.000243512,0.214117593,,,,,,,,,,
176,2759.620735,749.4953887,370.7981826,-0.476110782,606.1177078,0.271593621,0.134365631,-0.000172528,0.219638047,,,,,,,,,,
177,2702.908077,757.7323821,369.0275466,-0.328052782,604.4632478,0.280339679,0.136529818,-0.00012137,0.223634408,,,,,,,,,,
178,2644.024715,771.0241849,368.8968466,-0.229047782,605.6306778,0.291610052,0.139520953,-8.66285E-05,0.22905636,,,,,,,,,,
